frame,BrowHeight_L,BrowHeight_R,BrowSpeed_L,BrowSpeed_R,EAR_L,EAR_R,EARSpeed_L,EARSpeed_R,MouthWidth,LipGap,MouthArea,LipCornerLift_L,LipCornerLift_R,UpperLipHeight,LowerLipHeight,CheekWidth_L,CheekWidth_R,JawOpen
1978,0.4047340401833267,0.44921793155482925,-0.00022934086209014382,0.0011869956139939353,0.4759867938214442,0.6060596191653669,0.0006651618813511284,0.00022142272608394187,0.5743287925253451,0.07002367751332901,0.04021661415441441,-0.07222951077827862,-0.07517326039712385,0.4400414528133895,0.895950393094539,0.678714151015115,0.656327919595344,0.9657986976534692
1979,0.40491655809315075,0.45130389636215434,0.0001825179098240426,0.0020859648073250914,0.47674395556597515,0.6063298348426126,0.0007571617445309431,0.00027021567724572204,0.5723026211218901,0.07981465538392744,0.04567813648016206,-0.0737295392332044,-0.07703401944194659,0.43912494453933826,0.8871154482710494,0.6780761764153771,0.6569773889204086,0.9667868826844552
1980,0.4055059013252584,0.4540147775274227,0.0005893432321076308,0.002710881165268353,0.4774530997599443,0.6063695013526933,0.0007091441939691689,3.966651008069366e-05,0.5704769874947972,0.08904655594840845,0.05079901098423497,-0.07484553561593449,-0.07914396465621407,0.4386113042155521,0.880012103068902,0.6776797936763309,0.6582413224402724,0.9689468567586087
1981,0.4062132346326788,0.45689610287888804,0.0007073333074203991,0.002881325351465347,0.4778935168571591,0.60576177649778,0.0004404170972147625,-0.0006077248549133385,0.5693642886593,0.09674342652204068,0.055082252224184954,-0.07561403352028644,-0.0807552489823249,0.43817154811793146,0.8739596366856115,0.6772045207713518,0.6596105498230532,0.9706174735440091
1982,0.40673855457903313,0.459592004492553,0.0005253199463543523,0.0026959016136649527,0.477929847912389,0.6042465361154193,3.6331055229932296e-05,-0.0015152403823606164,0.5679519903334894,0.10245432698655739,0.058189138930293406,-0.0765897342883531,-0.08206622405546769,0.43801443010574964,0.868821874514993,0.6765265327868003,0.6608881516698515,0.9712071356467634
1983,0.4072030396045872,0.46164710428619293,0.00046448502555407334,0.0020550997936399362,0.47785027548166753,0.6035321217569914,-7.957243072148623e-05,-0.000714414358427895,0.5667948705072763,0.1055753336686742,0.059839557575498685,-0.07673148570243164,-0.08242485010243457,0.43841097435374327,0.8649632093820944,0.6759587172970218,0.6617115117928718,0.9704808489664077
1984,0.4076943180795572,0.46329841573319336,0.0004912784749699917,0.0016513114470004253,0.47770260322510055,0.6018566387459341,-0.00014767225656697747,-0.0016754830110573549,0.5666332336155556,0.10586341505382678,0.05998572919353556,-0.07578813951164759,-0.08110346613711791,0.4394142518519872,0.8625740542281508,0.6751908078394895,0.6624208426655511,0.9683881316471016
1985,0.40804973095828706,0.4653607745699565,0.00035541287872986604,0.002062358836763145,0.46806941235355476,0.5947466273519925,-0.009633190871545794,-0.007110011393941629,0.56760686427033,0.09999234627737416,0.056756342121533354,-0.07278088685585486,-0.07693536312439271,0.4422748719058319,0.8645167337595671,0.6741183213771992,0.6632565736288591,0.9644738089218156
1986,0.4099920313704423,0.46765581691208574,0.0019423004121552623,0.0022950423421292387,0.4196472396572713,0.5654956493193615,-0.04842217269628346,-0.029250978032630992,0.5669195883670014,0.09002350676125778,0.05103608939644623,-0.06802503740091108,-0.07262737945079356,0.44204369110506864,0.8659925408031058,0.6693241847305013,0.6602765910846168,0.9559927857153627
1987,0.41191309419304956,0.47007284327087673,0.0019210628226072335,0.0024170263587909857,0.3568938659487331,0.5299452260506585,-0.06275337370853817,-0.035550423268702946,0.5659680319439137,0.07945068270902006,0.04496654652942441,-0.06261050634975718,-0.06886865935630068,0.4412566973997242,0.8672731247787533,0.6636525674555408,0.6565468456640233,0.9467040759888373
